Total Time :12.212115316
New or Changed Entity :4051
Test To Run :1211
1 - org.apache.commons.io.FileUtilsTestCase.testMoveFile_CopyDelete_Failed 36  FAILURE Original exists,
91 - org.apache.commons.io.input.BOMInputStreamTest.testMarkResetAfterReadWithoutBOM 0  SUCCESSFUL 
92 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseKbFreeBSD 1  SUCCESSFUL 
93 - org.apache.commons.io.FileUtilsTestCase.testDecodeUrlLenient 4  FAILURE Unable to delete directory /Users/demigorgan/Documents/workspace/tldr/test/io.,
94 - org.apache.commons.io.output.WriterOutputStreamTest.testUTF16WithBufferedWrite 0  SUCCESSFUL 
95 - org.apache.commons.io.input.BOMInputStreamTest.testSmallBufferWithoutBOM 0  SUCCESSFUL 
96 - org.apache.commons.io.DirectoryWalkerTestCaseJava4.testHandleStartDirectoryFalse 0  SUCCESSFUL 
97 - org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithBufferedWrite 0  SUCCESSFUL 
98 - org.apache.commons.io.output.CloseShieldOutputStreamTest.testClose 0  SUCCESSFUL 
99 - org.apache.commons.io.ThreadMonitorTestCase.testCompletedWithoutTimeout 106  SUCCESSFUL 
100 - org.apache.commons.io.FileCleaningTrackerTestCase.testFileCleanerDirectory_ForceStrategy 2126  SUCCESSFUL 
101 - org.apache.commons.io.FileUtilsTestCase.testIsFileNewerOlder 1022  FAILURE Cannot create file /Users/demigorgan/Documents/workspace/tldr/test/io/FileUtils-reference.txt as the parent directory does not exist,
102 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charArrayToWriter 1  SUCCESSFUL 
103 - org.apache.commons.io.FileUtilsTestCase.testWriteByteArrayToFile_WithAppendOptionTrue_ShouldNotDeletePreviousFileLines 3  SUCCESSFUL 
104 - org.apache.commons.io.FileUtilsTestCase.testWriteLinesEncoding_WithAppendOptionTrue_ShouldNotDeletePreviousFileLines 8  FAILURE Unable to delete directory /Users/demigorgan/Documents/workspace/tldr/test/io.,
105 - org.apache.commons.io.input.BOMInputStreamTest.testAvailableWithoutBOM 0  SUCCESSFUL 
106 - org.apache.commons.io.EndianUtilsTest.testSwapInteger 0  SUCCESSFUL 
107 - org.apache.commons.io.filefilter.FileFilterTestCase.testAgeFilter 1006  FAILURE Cannot create file /Users/demigorgan/Documents/workspace/tldr/test/io/reference.txt as the parent directory does not exist,
108 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_byteArrayToWriter_Encoding 1  SUCCESSFUL 
109 - org.apache.commons.io.filefilter.FileFilterTestCase.testMakeCVSAware 2  SUCCESSFUL 
110 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charArrayToWriter_Encoding_nullData 0  SUCCESSFUL 
111 - org.apache.commons.io.input.ReaderInputStreamTest.testUTF8WithBufferedRead 0  SUCCESSFUL 
112 - org.apache.commons.io.FileUtilsTestCase.testDeleteQuietlyNonExistent 3  SUCCESSFUL 
113 - org.apache.commons.io.comparator.PathFileComparatorTest.testCaseSensitivity 1  SUCCESSFUL 
114 - org.apache.commons.io.EndianUtilsTest.testUnsignedOverrun 0  SUCCESSFUL 
115 - org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToItself 4  SUCCESSFUL 
116 - org.apache.commons.io.FileUtilsTestCase.testWriteStringToFile1 4  SUCCESSFUL 
117 - org.apache.commons.io.output.StringBuilderWriterTest.testAppendChar 0  SUCCESSFUL 
118 - org.apache.commons.io.IOUtilsTestCase.testSkipFileInput 1  SUCCESSFUL 
119 - org.apache.commons.io.IOUtilsTestCase.testReaderToCharArray 3  SUCCESSFUL 
120 - org.apache.commons.io.DirectoryWalkerTestCase.testFilterString 1  FAILURE Result Size expected:<4> but was:<0>,
121 - org.apache.commons.io.output.WriterOutputStreamTest.testUTF8WithBufferedWrite 0  SUCCESSFUL 
122 - org.apache.commons.io.FilenameUtilsTestCase.testNormalizeUnixWin 3  SUCCESSFUL 
123 - org.apache.commons.io.output.XmlStreamWriterTest.testLatin1Encoding 1  SUCCESSFUL 
124 - org.apache.commons.io.FileUtilsTestCase.testMoveDirectoryToDirectory_Errors 3  SUCCESSFUL 
125 - org.apache.commons.io.FileUtilsTestCase.test_openInputStream_notExists 3  SUCCESSFUL 
126 - org.apache.commons.io.FilenameUtilsTestCase.testEqualsNormalized 3  SUCCESSFUL 
127 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_OutputStream_Encoding 1  SUCCESSFUL 
128 - org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold 0  SUCCESSFUL 
129 - org.apache.commons.io.input.ProxyReaderTest.testNullCharArray 1  SUCCESSFUL 
130 - org.apache.commons.io.filefilter.FileFilterTestCase.testFilterArrayNullParameters 1  SUCCESSFUL 
131 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_charArrayToOutputStream_Encoding 1  SUCCESSFUL 
132 - org.apache.commons.io.input.BOMInputStreamTest.testLeadingNonBOMBufferedRead 0  SUCCESSFUL 
133 - org.apache.commons.io.FileUtilsTestCase.testWrite_WithAppendOptionFalse_ShouldDeletePreviousFileLines 3  SUCCESSFUL 
134 - org.apache.commons.io.input.TeeInputStreamTest.testReadToArray 0  SUCCESSFUL 
135 - org.apache.commons.io.output.DeferredFileOutputStreamTest.testBelowThreshold 0  SUCCESSFUL 
136 - org.apache.commons.io.FilenameUtilsTestCase.testGetPath 3  SUCCESSFUL 
137 - org.apache.commons.io.LineIteratorTestCase.testNextLineOnlyNullEncoding 3  SUCCESSFUL 
138 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_OutputStream_nullSeparator 0  SUCCESSFUL 
139 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_stringToOutputStream_Encoding 2  SUCCESSFUL 
140 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceUnix_String_NormalResponseKbLinux 0  SUCCESSFUL 
141 - org.apache.commons.io.FileUtilsTestCase.test_openOutputStream_noParentCreateFile 4  SUCCESSFUL 
142 - org.apache.commons.io.input.XmlStreamReaderUtilitiesTest.testCalculateRawEncodingNoBOM 1  SUCCESSFUL 
143 - org.apache.commons.io.input.XmlStreamReaderUtilitiesTest.testCalculateRawEncodingAdditonalkUTF16 1  SUCCESSFUL 
144 - org.apache.commons.io.input.ClassLoaderObjectInputStreamTest.testExpected 2  SUCCESSFUL 
145 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_byteArrayToWriter_Encoding_nullWriter 0  SUCCESSFUL 
146 - org.apache.commons.io.output.StringBuilderWriterTest.testWriteCharArray 0  SUCCESSFUL 
147 - org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToWriter 1  SUCCESSFUL 
148 - org.apache.commons.io.FileUtilsTestCase.testWriteLines_4arg_nullSeparator 6  SUCCESSFUL 
149 - org.apache.commons.io.FileUtilsTestCase.test_openOutputStream_notExistsCannotCreate 2  SUCCESSFUL 
